pl_name,disc_year,discoverymethod
"HD 114762 b",1989,"Radial Velocity"
"PSR B1257+12 c",1992,"Pulsar Timing"
"PSR B1257+12 d",1992,"Pulsar Timing"
"PSR B1257+12 b",1994,"Pulsar Timing"
"51 Peg b",1995,"Radial Velocity"
"16 Cyg B b",1996,"Radial Velocity"
"70 Vir b",1996,"Radial Velocity"
"47 UMa b",1996,"Radial Velocity"
"55 Cnc b",1996,"Radial Velocity"
"ups And b",1996,"Radial Velocity"
"tau Boo b",1996,"Radial Velocity"
"rho CrB b",1997,"Radial Velocity"
"HD 195019 b",1998,"Radial Velocity"
"GJ 876 b",1998,"Radial Velocity"
"HD 187123 b",1998,"Radial Velocity"
"HD 168443 b",1998,"Radial Velocity"
"HD 210277 b",1998,"Radial Velocity"
"HD 217107 b",1998,"Radial Velocity"
"ups And c",1999,"Radial Velocity"
"HD 192263 b",1999,"Radial Velocity"
"ups And d",1999,"Radial Velocity"
"GJ 86 b",1999,"Radial Velocity"
"HD 209458 b",1999,"Radial Velocity"
"HD 75289 b",1999,"Radial Velocity"
"HD 89744 b",1999,"Radial Velocity"
"HD 134987 b",1999,"Radial Velocity"
"HD 130322 b",1999,"Radial Velocity"
"HD 222582 b",1999,"Radial Velocity"
"HR 810 b",1999,"Radial Velocity"
"HD 177830 b",1999,"Radial Velocity"
"HD 10697 b",1999,"Radial Velocity"
"BD-10 3166 b",2000,"Radial Velocity"
"HD 46375 b",2000,"Radial Velocity"
"HD 160691 b",2000,"Radial Velocity"
"HD 12661 b",2000,"Radial Velocity"
"eps Eri b",2000,"Radial Velocity"
"GJ 3021 b",2000,"Radial Velocity"
"HD 92788 b",2000,"Radial Velocity"
"HD 16141 b",2000,"Radial Velocity"
"HD 168443 c",2000,"Radial Velocity"
"HD 52265 b",2000,"Radial Velocity"
"HD 27442 b",2000,"Radial Velocity"
"HD 169830 b",2000,"Radial Velocity"
"HD 179949 b",2000,"Radial Velocity"
"HD 38529 b",2000,"Radial Velocity"
"GJ 876 c",2000,"Radial Velocity"
"HD 38529 c",2000,"Radial Velocity"
"HD 28185 b",2001,"Radial Velocity"
"HD 39091 b",2001,"Radial Velocity"
"HD 23079 b",2001,"Radial Velocity"
"HD 80606 b",2001,"Radial Velocity"
"HD 114783 b",2001,"Radial Velocity"
"HD 213240 b",2001,"Radial Velocity"
"HD 142 b",2001,"Radial Velocity"
"HD 4208 b",2001,"Radial Velocity"
"HD 68988 b",2001,"Radial Velocity"
"HD 4203 b",2001,"Radial Velocity"
"47 UMa c",2001,"Radial Velocity"
"HD 178911 B b",2001,"Radial Velocity"
"HD 72659 b",2002,"Radial Velocity"
"HD 216437 b",2002,"Radial Velocity"
"HD 30177 b",2002,"Radial Velocity"
